Esperanto,Dunianto,etimologio
a,a,
aĉ,ac,
aĉet,bi·mon·um,
ad,ad,
adres,adres,
aer,hawa,ar: هواء “hawa”, id: hawa, tr: hava, sw: hewa, fa: هوا “hava”
afer,masal,ar: مسألة “mas'ala”, fa: مسئله “masale”, tr: mesele, id: masalah, hi: मसला “mas-la”
afiks,al·glu·aj,
ag,ag,
aĝ·o,yun·ud·o,
aĵ,aj,
akcept,akcept,
akompan,kun·i,
akv,suy,zh:水 (shuǐ), jp:(sui), tr:su, vi:thuỷ
al,al,
ali,hok,ja: hoka
alt,gaw,zh: gāo, vi: cao
am,ay,zh: 爱 (ai), ja: 愛 (ai)
amik,dost,hi: दोस्त (dost), tr: dost, fa: دوست(dust)
an,an,
anas,kwak,onomatopeo
ankaŭ,aydan,ar: aydaan
ankoraŭ,hay,zh: 還 (hai)
anser,gaga,onomatopeo
anstataŭ,tayday,zh: tì dài, ja: taitai
ant,ant,
antaŭ,can,zh: qian
antaŭ·tag·mez·o,sab·oc·o,
apart,apart,
April,Kwar·ol,
apud,comen·e de,
ar,ar,
arb,arb,
arbitr,sen·kial,
arbust,arb·oc,
art,art,
art·e·far·it·a,hom·zu·it·a,
artikol,artikol,
artikol,makal,ar: مقالة (maqala), fa: مقاله (maqale), tr: makale, sw: makala
as,as,
asoci,asoci,
aspekt,vid·ij,
at,at,
atent,ju,zh: 注意 (zhùyì), ko: 주의 (juui), ja: 注意 (chūi), vi: chú ý
aŭ,aw,
aŭd,awd,
Aŭgust,Tam·ol,
aŭskult,awd·oc,
av,pat·ic,ta: pāṭṭaṉ/pāṭṭi
babil,onge·oc,
baldaŭ,krib·ont·e,
bas,bes,ja: bēsu, ko: beiseu, en: bass
baz,baz,
bel,mel,zh: měilì
best,hewan,ar (حيوان “hayawan”), fa (حیوان “hayawan”), tr (hayvan), id (hewan)
bezon,hitaj,sw: -hitaji, ar: اِحْتِيَاج‎ (iḥtiyāj), tr: ihtiyaç, fa: احتیاج داشتن [ehtʰiːɒːdʒ dɒːʃˈtʰæn]
bird,pi,onomatopeo
bo,bo,
boj,waf·um,
bon,bon,
bov,mu,onomatopeo
brak,man·oc,
brak·um·i,kwan·man·oc·i,
bub,kel·oc·bac,
ĉambr,pong,vi: phòng
ĉar,boy ke,
ĉe,ce,
ĉef,cef,
cel,hadaf,ar/fa: hadaf, tr: hedef
cent,bay,zh: bǎi
centr,jun,zh: 中 (zhōng), ko: 중 (jung), ja: 中 (chuu-)
cert,cert,
ĉeval,hihi,onomatopeo
ĉi tie,je,zh: zhe
ĉia,cia,
ĉial,cial,
ĉiam,ciam,
ĉie,cie,
ĉiel,ciel,
ĉiel,saman,ar: (samāʾ), am: ሰማይ (sämay), om: samii, ha: sama, Hindi:आसमान (āsmān), fa/ur: (āsmān)
ĉies,cies,
ĉio,cio,
ĉiom,ciom,
ĉirkaŭ,kwan,vi: quanh
ĉiu,ciu,
ĉj,py,
ĉu,hal,ar: hal
dank,cukr,ar (شكرا “shukraan”), tr (şükran, teşekkür), sw (shukrani), fa (تشکر “tashakor”), hi (शुक्रिया “shukriya”)
daŭr,dur,en:endure, fr:durer, es/pt:durar + bn:ধরে (dhôre), hi:दौरान [d̪ɔː.ɾä̃ːn̪]
de,da,
de,de,
Decembr,Dek·du·ol,
decid,decid,
dek,dek,
dekstr,tati,retroskribo de “itat/”
demand,swal,ar (سؤال “sual”), sw (swali), hi (सवाल “saval”), fa (سوال “soal”)
deriv,de·ig,
desegn,risam,ar (رسم “rasama”), fa (رسم کردن‎ “rasm kardan”), ru: рисова́ть (risovátʹ), pl: rysować, tr: resim
dev,dev,
dezir,vol·oc,
di,di,
diferenc,mal·sam,
dik,mot,hi: मोटा “mota” मोटी “moti”
dikt,dir·oc,
dimanĉ,sep·var,
dir,dir,
direkt,direkt,
dis,dis,
distanc,krib·ud,
diurn,din·oc,
divers,divers,
divid,divid,
do,do,
doktor,doktor,
dolĉ,suker·oc,
dom,dom,
don,ge,zh: gěi, de: geben, en: give
donac,ge·oc,
dorm,sumn,ja: suimin, zh: shuìmián, es: sueño, po: sono, ru:son, en: insomnia, fr: insomnie, sommeil
drink,he·oc,
du,du,
dum,selam,id: selama
e,e,
ebl,ebl,
ec,es,
eĉ,hat·oc·e,
eduk,lern·oc·ig,
eduk·iĝ,lern·oc,
edz,ec·ic,
eg,eg,
ej,ey,
ek,ek,
eks,eks,
ekster,way,zh: wài
ekzempl,eksempl,
ekzist,eksist,
el,el,
elekt,elekt,
em,em,
emir,emir,
en,en,
end,end,
er,er,
esper,incal,ar (إن شاء الله “'insha' allah”), tr (inşallah), id (insya allah),
Esperant,Esperant,
esprim,esprim,
est,est,
estr,estr,
et,et,
etn,zok,ja: zoku
evit,evit,
facil,facil,
fak,????,
fakt,fakt,
fal,pad,te: పడు (paḍu), ru: па́дать (pádatʹ), hi: पड़ना (paṛnā)
famili,famili,
far,zu,zh: zuo
Februar,du·ol,
feliĉ,koc,hi (खुश “khush”), fa (خوش “khosh”)
fenestr,janel,pt:janela, bn:জানালা (janala), id:jendela, ta:சன்னல் (sannal),
