Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
abat,abato,,abbot,,,Abt,,,abate,,,,aббaт,,,
abdik,abdiki,,abdicate,,abdiquer,,,,abdicare,abdicare,,,,,,
abel,abelo,,,,abeille,,,,,,,,,,,
abi,abio,,,,,,,,,abies,,,,,,
abism,abismo,,abysm,,,,,,,,,,,,,
abitur,abituro,,,,,Abitur,,,,,,,,,,
abnegaci,abnegacio,,,,abnégation,,,,,,,,,,,
aboc,aboco,,,,,,,,abbici,,abecele,abecad³o,,,,
abolici,abolicio,,abolition,,abolition,,,,abolizione,abolitio,,,,,,
abomen,abomeni,,,,,,,,abominare,abominare,,,,,,
abon,abono,,,,abonnement,Abonnement,,,abbonamento,,abonementas,abonament,aбонeмент,,,
abort,aborto,,abortion,,,Abort,,,aborto,abortus,abortas,,aбоpт,,,
abrikot,abrikoto,,apricot,,abricot,,,,,,,,,,,
absces,absceso,,abscess,,abscès,,,,,,,,,,,
absolut,absoluta,,absolute,,,absolut,,,,,absoliutus,absolutny,aбсолютный,,,
absolv,absolvi,,absolve,,,absolvieren,,,,absolvere,,,,,,
absorb,absorbi,,absorb,,absorber,absorbieren,,,,absorbere,,,,,,
abstin,abstini,,abstain,,abstenir,,,,,abstinere,,,,,,
abstrakt,abstrakta,,abstract,,,abstrakt,,,,abstractus,abstraktus,,aбстpaктный,,,
absurd,absurda,,absurd,,absurde,absurd,,,,absurdus,absurdiškas,,aбсypдный,,,
abund,abundi,,abound,,abonder,,,,abbondare,abundare,,,,,,
acer,acero,,,,,,,,acero,acer,,,,,,
acid,acida,,acid,,acide,,,,acido,acidus,,,,,,
aĉet,aĉeti,,,,acheter,,,,,,,,,,,
adapt,adapti,,adapt,,adapter,,,,adattare,adaptare,adaptuoti,,адаптировать,,,
adept,adepto,,adept,,adepte,,,,,,,,,,,
adia,adiaŭ,,,,adieu,,,,addio,,,,,,,
adici,adicio,,addition,,addition,Addition,,,addizione,additio,,,,,,
administrist,administristo,,administrator,,administrateur,Administrator,,,,,administratorius,administrator,администрaтoр,,,
admiral,admiralo,,admiral,,,,,,,,admirolas,,адмирaл,,,
admir,admiri,,admire,,admirer,,,,,admirari,,,,,,
admon,admoni,,admonish,,,,,,,admonere,,,,,,
adolesk,adoleska,,adolescent,,adolescent,,,,adolescente,adulescens,,,,,,
ador,adori,,adore,,adorer,,,,adorare,adorare,,,,,,
adres,adreso,,address,,adresse,Adresse,,,,,adresas,adres,aдpec,,adres,
adult,adulto,,adultery,,adultère,,,,adulterio,adulterium,,,,,,
advokat,advokato,,,,,Advokat,,,,,advokatas,adwokat,aдвокат,,,
adz,adzo,,adze,,,,,,,,,,,,,
aer,aero,,air,,air,,,,aria,aer,,,,,,
aerodrom,aerodromo,,,,aérodrome,,,,aerodromo,,aerodromas,,aэpoдpoм,,,
aeroplan,aeroplano,,aeroplane,,,,,,aeroplano,,,,aэpoплaн,,,
aerostat,aerostato,,,,,,,,aerostato,,aerostatas,,aэpocтат,,,
afer,afero,,affair,,affaire,Affäre,,,affare,,afera,afera,,,,
afiŝ,afiŝo,,,,affiche,,,,,,afiša,afisz,aфишa,,,
afrikan,afrikano,,African,,africain,Afrikaner,,,africano,,,,aфpиканeц,,,
afust,afusto,,,,,,,,affusto,,,,,,,
agac,agaci,,,,agacer,,,,,,,,,,,
agent,agento,,agent,,agent,Agent,,,agente,(pl.) agentes,agentas,agent,aгент,,,
ag,agi,,,,,,,,,agere,,,,,,
agit,agiti,,agitate,,agiter,,,,agitare,,agituoti,agitowaæ,aгитировать,,,
agl,aglo,,eagle,,aigle,,,,,,,,,,,
agnosk,agnoski,,,,,,,,,agnoscare,,,,,,
agoni,agonio,,agony,,agonie,,,,agonia,,agonijas,,aгoния,,,
agord,agordo,,chord,,accord,Akkord,,,accordo,,akordas,,aккoрд,,,
agrabl,agrabla,,agreeable,,agréable,,,,,,,,,,,
agraf,agrafo,,,,agrafe,,,,,,,,,,,
agres,agreso,,aggression,,agression,,,,aggressione,aggressio,agresija,agresja,aгpeccия,,,
agrikultur,agrikulturo,,agriculture,,agriculture,Agrikultur,,,agricoltura,,,,,,,
agronom,agronomo,,,,agronome,,,,agronomo,,agronomas,agronom,aгpoнoм,,,
aĝ,aĝo,,age,,âge,,,,,,,,,,,
ajl,ajlo,,,,ail,,,,aglio,alium,,,,,,
ajn,ajna,,any,,,,,,,,,,,,,
akaci,akacio,,acacia,,acacia,,,,acacia,,akacija,akacja,aкaция,,,
akademi,akademio,,academy,,académie,Akademie,,,accademia,,akademija,akademia,aкaдемия,,,
akcel,akceli,,accelerate,,accélerer,,,,,accelerare,,,,,,
akcent,akcento,,accent,,accent,,,,,accentus,akcentas,akcent,aкцeнт,,,
akcident,akcidento,,accident,,accident,,,,,,,,,,,
akci,akcio,,,,,,,,,,akcija,akcja,aкция,,,
akcept,akcepti,,accept,,accepter,,,,,acceptare,,akceptowaæ,,,,
akcipitr,akcipitro,,,,,,,,,accipiter,,,,,,
akir,akiri,,acquire,,acquérir,akquirieren,,,,acquirere,,,,,,
aklam,aklamo,,acclaim,,,,,,,,,,,,,
akn,akno,,acne,,,,,,,,,,,,,
akompan,akompani,,accompany,,accompagner,,,,accompagnare,,akompanuoti,akompaniowaæ,aккoмпaнировать,,,
akord,akordo,,accord,,accord,Akkord,,,accordo,,,,,,,
akr,akro,,acre,,,,,,,,,,,,,
akrec,akreco,,,,,,,,agrezza,,,,,,,
akrobat,akrobato,,acrobat,,acrobate,Akrobat,,,acrobata,,akrobatas,,aкpобaт,,,
aksel,akselo,,,,aisselle,Achsel,,,ascella,axilla,,,,,,
aksiom,aksiomo,,axiom,,,,,,,,aksioma,,aкcиомa,,,
aks,akso,,axis,,,Achse,,,,axis,,,,,,
aktiv,aktiva,,active,,actif,aktiv,,,,,aktyvus,aktywny,aктивный,,,
akt,akto,,act,,acte,Akte,,,,actus,aktas,akt,aкт,,,
aktor,aktoro,,actor,,acteur,,,,,actor,aktorius,aktor,aктëp,,,
aktual,aktuala,,actual,,actuel,aktuell,,,,,aktualus,aktualny,aктyaльный,,,
akumulator,akumulatoro,,,,accumulateur,Akkumulator,,,accumulatore,,akumulatorius,akumulator,aккyмулятop,,,
akurat,akurata,,accurate,,accurat,akkurat,,,accurato,accuratus,,akuratny,aккypaтный,,,
akuratec,akurateco,,,,,,,,accuratezza,,,,,,,
akustik,akustiko,,acoustics,,acoustique,Akustik,,,acustica,,akustika,,aкycтикa,,,
akuŝ,akuŝi,,,,accoucher,,,,,,,,,,,
akuŝistin,akuŝistino,,,,accoucheuse,,,,,,akušere,,aкyшepкa,,,
akut,akuta,,acute,,,akut,,,acuto,acutus,,,,,,
akutec,akuteco,,,,,,,,acutezza,,,,,,,
akuz,akuzi,,accuse,,accuser,,,,accusare,,,,,,,
akvarel,akvarelo,,aquarel,,aquarelle,Aquarell,,,acquerello,,akvarele,akwarela,aквapeль,,,
akv,akvo,,,,,,,,acqua,aqua,,,,,,
a,aŭ,,,,ou,,,,o,aut,,,,,,
alarm,alarmo,,alarm,,alarme,Alarm,,,allarme,,aliarmas,alarm,,,,
alaŭd,alaŭdo,,,,,,,,allodola,alauda,,,,,,
album,albumo,,album,,,Album,,,,,albumas,album,aльбом,,,
ald,aldo,,,,,Alt,,,,,altas,,aльт,,,
ale,aleo,,,,allée,Allee,,,,,aleja,aleja,aллeя,,,
alegori,alegorio,,,,,Allegorie,,,allegoria,,alegorija,,aллeгopия,,,
alen,aleno,,awl,,alène,Ahle,,,,,,,,,,
alfabet,alfabeto,,alphabet,,alphabet,Alphabet,,,alfabeto,,alfabetas,alfabet,,,,
algebr,algebro,,algebra,,algèbre,Algebra,,,algebra,,algebra,,aлгебpa,,,
alg,algo,,alga,,algue,Alge,,,,alga,,,,,,
ali,alia,,,,,,,,,alius,,,,,,
alk,alko,,elk,,,Elch,,,alce,alces,,,,,,
alkohol,alkoholo,,alcohol,,,Alkohol,,,,,alkoholis,alkohol,aлкoгoль,,,
almena,almenaŭ,,,,,,,,almeno,,,,,,,
almoz,almozo,,alms,,,Almosen,,,,,,,,,,
aln,alno,,,,,,,,,alnus,,,,,,
aloj,aloji,,alloy,,allier,,,,,,,,,,,
alt,alta,,,,,,,,alto,altus,,,,,,
altar,altaro,,altar,,,Altar,,,altare,altaria,altorius,oltarz,aлтapь,,,
altec,alteco,,,,,,,,altezza,,,,,,,
altern,alterni,,alternate,,alterner,,,,,,,,,,,
alud,aludi,,allude,,,,,,alludere,alludere,,,,,,
alumet,alumeto,,,,allumette,,,,,,,,,,,
